"country","city","data_date","id","neighbourhood_cleansed","latitude","longitude","property_type","room_type","accommodates","bedrooms","beds","price","minimum_nights","maximum_nights","availability_30","price_30","revenue_30"
"france","lyon","2020-07-25",9456527,"7e Arrondissement",45.74958,4.84121,"Apartment","Entire home/apt",2,0,1,160,2,3,0,160,4800
"france","lyon","2020-07-25",9456779,"3e Arrondissement",45.75879,4.84291,"Apartment","Entire home/apt",2,1,2,140,1,1125,0,140,4200
"france","lyon","2020-07-25",9456939,"2e Arrondissement",45.76041,4.83062,"Apartment","Entire home/apt",4,1,2,200,1,1125,0,200,6000
"france","lyon","2020-07-25",9456996,"5e Arrondissement",45.75505,4.80364,"Condominium","Entire home/apt",4,1,2,50,5,28,14,47.5,760
"france","lyon","2020-07-25",9459146,"1er Arrondissement",45.76671,4.83548,"Apartment","Entire home/apt",2,1,1,45,2,1125,0,45,1350
"france","lyon","2020-07-25",9459456,"1er Arrondissement",45.77024,4.82734,"Apartment","Entire home/apt",4,1,2,250,1,1125,0,250,7500
"france","lyon","2020-07-25",9459836,"1er Arrondissement",45.76948,4.81749,"Apartment","Entire home/apt",6,2,3,250,1,1125,0,250,7500
"france","lyon","2020-07-25",9460883,"1er Arrondissement",45.76472,4.83239,"Apartment","Entire home/apt",6,3,3,500,1,1125,0,500,15000
"france","lyon","2020-07-25",9462281,"6e Arrondissement",45.76488,4.84363,"Apartment","Entire home/apt",4,2,4,250,1,1125,0,250,7500
"france","lyon","2020-07-25",9462862,"1er Arrondissement",45.76989,4.82855,"Apartment","Entire home/apt",4,1,2,190,2,1125,0,190,5700
"france","lyon","2020-07-25",9466272,"3e Arrondissement",45.75359,4.85882,"Apartment","Entire home/apt",2,1,0,150,1,1125,0,150,4500
"france","lyon","2020-07-25",9467240,"5e Arrondissement",45.76514,4.82635,"Apartment","Entire home/apt",6,2,3,400,2,1125,0,400,12000
"france","lyon","2020-07-25",9467578,"1er Arrondissement",45.77253,4.8264,"Apartment","Entire home/apt",4,1,2,140,2,1125,0,140,4200
"france","lyon","2020-07-25",9467631,"3e Arrondissement",45.7605,4.87115,"Apartment","Entire home/apt",4,1,1,130,2,5,0,130,3900
"france","lyon","2020-07-25",9467750,"5e Arrondissement",45.75774,4.81671,"Apartment","Entire home/apt",2,0,1,130,1,1125,0,130,3900
"france","lyon","2020-07-25",9467810,"7e Arrondissement",45.73186,4.83717,"Apartment","Entire home/apt",6,3,3,250,4,1125,0,250,7500
"france","lyon","2020-07-25",9468332,"7e Arrondissement",45.75086,4.84671,"Apartment","Entire home/apt",2,0,1,40,2,1125,0,40,1200
"france","lyon","2020-07-25",9468371,"2e Arrondissement",45.7467,4.82362,"Apartment","Private room",1,1,1,26,1,1125,0,26,780
"france","lyon","2020-07-25",9468693,"4e Arrondissement",45.77688,4.83569,"Apartment","Entire home/apt",2,0,1,90,2,4,27,90,270
"france","lyon","2020-07-25",9468697,"1er Arrondissement",45.76563,4.8341,"Apartment","Entire home/apt",4,1,1,180,2,1125,0,180,5400
"france","lyon","2020-07-25",9470107,"4e Arrondissement",45.77828,4.83484,"Apartment","Entire home/apt",11,3,7,90,2,15,29,86,86
"france","lyon","2020-07-25",9470680,"1er Arrondissement",45.76883,4.83208,"Apartment","Entire home/apt",2,1,1,80,2,1125,0,80,2400
"france","lyon","2020-07-25",9472015,"9e Arrondissement",45.76616,4.81772,"Apartment","Entire home/apt",4,1,2,50,2,30,0,35,1050
"france","lyon","2020-07-25",9472290,"1er Arrondissement",45.76939,4.83482,"Apartment","Entire home/apt",6,2,3,150,1,1125,0,150,4500
"france","lyon","2020-07-25",9473141,"3e Arrondissement",45.75306,4.85258,"Apartment","Entire home/apt",4,1,2,200,1,1125,0,200,6000
"france","lyon","2020-07-25",9473294,"5e Arrondissement",45.75867,4.82496,"Apartment","Entire home/apt",4,1,2,200,1,1125,0,200,6000
"france","lyon","2020-07-25",9474252,"6e Arrondissement",45.76426,4.84254,"Apartment","Entire home/apt",4,2,2,59,2,1125,0,59,1770
"france","lyon","2020-07-25",9474253,"2e Arrondissement",45.7628,4.83299,"Apartment","Entire home/apt",9,4,5,700,1,1125,0,700,21000
"france","lyon","2020-07-25",9475014,"7e Arrondissement",45.74637,4.84381,"Apartment","Entire home/apt",4,2,2,95,2,1125,0,95,2850
"france","lyon","2020-07-25",9475100,"1er Arrondissement",45.76893,4.82978,"Apartment","Entire home/apt",2,1,1,100,2,1125,0,100,3000
"france","lyon","2020-07-25",9475142,"4e Arrondissement",45.78088,4.82908,"Apartment","Shared room",2,1,1,70,1,1125,0,70,2100
"france","lyon","2020-07-25",9475262,"4e Arrondissement",45.77774,4.81221,"Apartment","Private room",2,1,1,65,1,1125,30,NA,0
"france","lyon","2020-07-25",9481885,"8e Arrondissement",45.74188,4.8738,"Apartment","Entire home/apt",3,1,2,150,1,1125,0,150,4500
"france","lyon","2020-07-25",9484600,"2e Arrondissement",45.75958,4.83392,"Apartment","Entire home/apt",6,2,2,320,2,1125,0,320,9600
"france","lyon","2020-07-25",9484677,"2e Arrondissement",45.75857,4.83252,"Apartment","Entire home/apt",5,2,3,90,2,1125,0,90,2700
"france","lyon","2020-07-25",9486199,"7e Arrondissement",45.75151,4.84525,"Apartment","Entire home/apt",2,1,1,50,3,1125,0,50,1500
