"","country","city","data_date","id","neighbourhood_cleansed","latitude","longitude","property_type","room_type","accommodates","bedrooms","beds","price","minimum_nights","maximum_nights","availability_30","price_30","revenue_30"
"1","italy","florence","2020-08-31",24469,"Centro Storico",43.78308,11.24418,"Entire apartment","Entire home/apt",4,1,1,"$70.00",2,365,30,NA,0
"2","italy","florence","2020-08-31",24470,"Centro Storico",43.78287,11.24431,"Entire apartment","Entire home/apt",3,1,1,"$70.00",2,365,30,NA,0
"3","italy","florence","2020-08-31",24471,"Centro Storico",43.78292,11.2446,"Entire apartment","Entire home/apt",6,2,2,"$135.00",2,365,30,NA,0
"4","italy","florence","2020-08-31",24472,"Centro Storico",43.7815,11.24507,"Entire apartment","Entire home/apt",6,2,2,"$120.00",2,365,29,120,120
"5","italy","florence","2020-08-31",29982,"Centro Storico",43.77348,11.2545,"Entire apartment","Entire home/apt",5,2,5,"$185.00",3,180,0,151.333333333333,4540
"6","italy","florence","2020-08-31",32120,"Gavinana Galluzzo",43.76352,11.27726,"Entire apartment","Entire home/apt",2,1,1,"$75.00",1,5,29,75,75
"7","italy","florence","2020-08-31",32180,"Centro Storico",43.76964,11.2436,"Entire apartment","Entire home/apt",4,2,4,"$89.00",3,60,1,89,2581
"8","italy","florence","2020-08-31",32395,"Centro Storico",43.76158,11.24188,"Room in bed and breakfast","Hotel room",2,1,1,"$60.00",1,1125,30,NA,0
"9","italy","florence","2020-08-31",39115,"Centro Storico",43.77525,11.25258,"Private room in house","Private room",2,1,2,"$65.00",2,365,30,NA,0
"10","italy","florence","2020-08-31",39165,"Centro Storico",43.77525,11.25258,"Private room in house","Private room",2,1,2,"$85.00",2,365,30,NA,0
"11","italy","florence","2020-08-31",39821,"Centro Storico",43.76853,11.24395,"Entire apartment","Entire home/apt",3,NA,1,"$65.00",3,365,30,NA,0
"12","italy","florence","2020-08-31",39822,"Centro Storico",43.76865,11.24426,"Entire apartment","Entire home/apt",4,2,2,"$60.00",4,1124,0,60,1800
"13","italy","florence","2020-08-31",42997,"Centro Storico",43.76944,11.26331,"Entire apartment","Entire home/apt",2,1,1,"$107.00",3,1125,6,106.791666666667,2563
"14","italy","florence","2020-08-31",43365,"Centro Storico",43.76944,11.26331,"Entire apartment","Entire home/apt",3,1,2,"$143.00",3,1125,0,142.766666666667,4283
"15","italy","florence","2020-08-31",43369,"Centro Storico",43.76944,11.26331,"Entire apartment","Entire home/apt",2,1,1,"$142.00",3,1125,7,142,3266
"16","italy","florence","2020-08-31",44781,"Centro Storico",43.76418,11.24618,"Entire apartment","Entire home/apt",4,1,2,"$100.71",3,100,15,109.333333333333,1640
"17","italy","florence","2020-08-31",45606,"Isolotto Legnaia",43.7728,11.23746,"Entire apartment","Entire home/apt",3,1,3,"$50.00",4,180,10,50,1000
"18","italy","florence","2020-08-31",47498,"Centro Storico",43.77224,11.24996,"Private room in serviced apartment","Private room",3,1,1,"$42.00",1,10,30,NA,0
"19","italy","florence","2020-08-31",48372,"Centro Storico",43.77525,11.25258,"Private room in house","Private room",1,1,1,"$55.00",2,365,30,NA,0
"20","italy","florence","2020-08-31",52543,"Isolotto Legnaia",43.77336,11.23653,"Entire apartment","Entire home/apt",5,1,2,"$58.00",4,180,1,57.7586206896552,1675
"21","italy","florence","2020-08-31",52545,"Isolotto Legnaia",43.77196,11.23862,"Entire apartment","Entire home/apt",4,1,2,"$65.00",5,90,0,65,1950
"22","italy","florence","2020-08-31",53454,"Centro Storico",43.7816,11.2568,"Entire apartment","Entire home/apt",3,1,1,"$60.00",3,14,28,60,120
"23","italy","florence","2020-08-31",56143,"Centro Storico",43.76925,11.25516,"Entire apartment","Entire home/apt",4,1,2,"$53.00",2,30,1,46.3103448275862,1343
