"country","city","data_date","id","neighbourhood_cleansed","latitude","longitude","property_type","room_type","accommodates","bedrooms","beds","price","minimum_nights","maximum_nights","availability_30","price_30","revenue_30"
"italy","rome","2020-06-14",2737,"VIII Appia Antica",41.87218,12.48355,"Other","Private room",1,1,1,18,60,90,30,NA,0
"italy","rome","2020-06-14",2903,"I Centro Storico",41.88826,12.47002,"Bed and breakfast","Private room",4,1,2,98,1,730,30,NA,0
"italy","rome","2020-06-14",3079,"I Centro Storico",41.89503,12.49163,"Apartment","Entire home/apt",4,1,4,105,2,120,30,NA,0
"italy","rome","2020-06-14",11834,"I Centro Storico",41.89574,12.49058,"Apartment","Entire home/apt",2,1,1,85,2,29,29,90,90
"italy","rome","2020-06-14",12398,"II Parioli/Nomentano",41.92584,12.46809,"Apartment","Entire home/apt",5,2,3,60,3,90,29,60,60
"italy","rome","2020-06-14",14181,"I Centro Storico",41.91485,12.45321,"Apartment","Private room",1,1,1,27,7,120,28,27,54
"italy","rome","2020-06-14",15409,"XIII Aurelia",41.89538,12.45022,"Apartment","Entire home/apt",10,2,16,100,2,730,30,NA,0
"italy","rome","2020-06-14",16276,"I Centro Storico",41.88919,12.47107,"Bed and breakfast","Private room",3,1,2,98,1,730,30,NA,0
"italy","rome","2020-06-14",19965,"I Centro Storico",41.90722,12.45199,"Apartment","Entire home/apt",6,2,4,80,3,365,0,97.4666666666667,2924
"italy","rome","2020-06-14",19967,"I Centro Storico",41.90729,12.45408,"Apartment","Entire home/apt",6,2,3,75,3,365,0,95.4666666666667,2864
"italy","rome","2020-06-14",20534,"I Centro Storico",41.88992,12.46823,"Apartment","Entire home/apt",3,1,2,70,3,365,26,120,480
"italy","rome","2020-06-14",20587,"I Centro Storico",41.88992,12.46823,"Apartment","Entire home/apt",5,2,4,85,3,365,30,NA,0
"italy","rome","2020-06-14",20606,"XIII Aurelia",41.89689,12.45695,"Apartment","Entire home/apt",7,3,5,143,3,90,29,152,152
"italy","rome","2020-06-14",20699,"I Centro Storico",41.89291,12.50531,"Guesthouse","Private room",2,1,0,90,1,365,30,NA,0
"italy","rome","2020-06-14",21193,"I Centro Storico",41.91029,12.44703,"Bed and breakfast","Private room",2,1,1,70,2,730,30,NA,0
"italy","rome","2020-06-14",21249,"VII San Giovanni/Cinecittà",41.86272,12.54795,"Bed and breakfast","Private room",3,1,1,45,3,1125,29,45,45
"italy","rome","2020-06-14",21811,"I Centro Storico",41.88991,12.46727,"Loft","Entire home/apt",4,0,2,50,3,365,0,106,3180
"italy","rome","2020-06-14",22335,"I Centro Storico",41.90028,12.46706,"Apartment","Entire home/apt",6,1,2,55,1,29,0,33.3,999
"italy","rome","2020-06-14",22395,"I Centro Storico",41.90306,12.46142,"Condominium","Entire home/apt",5,2,3,60,3,1125,7,57.9565217391304,1333
"italy","rome","2020-06-14",22573,"V Prenestino/Centocelle",41.89078,12.52634,"Loft","Entire home/apt",4,1,2,80,28,1125,17,75,975
"italy","rome","2020-06-14",22930,"I Centro Storico",41.88992,12.46823,"Apartment","Entire home/apt",2,1,1,70,3,365,30,NA,0
"italy","rome","2020-06-14",22931,"I Centro Storico",41.89998,12.46668,"Apartment","Entire home/apt",5,2,4,80,3,365,0,180,5400
"italy","rome","2020-06-14",23803,"I Centro Storico",41.89169,12.46584,"Loft","Entire home/apt",4,0,2,50,3,1125,1,46.2413793103448,1341
"italy","rome","2020-06-14",24557,"XIV Monte Mario",41.91114,12.41477,"Apartment","Entire home/apt",2,1,1,73,2,365,29,73,73
"italy","rome","2020-06-14",25875,"XIII Aurelia",41.89689,12.45695,"Apartment","Entire home/apt",7,2,4,500,4,90,0,526.666666666667,15800
"italy","rome","2020-06-14",26957,"I Centro Storico",41.88788,12.47151,"Bed and breakfast","Private room",2,1,1,98,1,1125,30,NA,0
"italy","rome","2020-06-14",27732,"I Centro Storico",41.91498,12.45325,"Apartment","Private room",2,1,2,70,2,60,24,100,600
"italy","rome","2020-06-14",27816,"I Centro Storico",41.89603,12.47174,"Loft","Entire home/apt",2,1,1,68,2,90,30,NA,0
"italy","rome","2020-06-14",28929,"I Centro Storico",41.88331,12.46576,"Apartment","Entire home/apt",7,3,3,139,3,365,30,NA,0
"italy","rome","2020-06-14",29606,"XII Monte Verde",41.87855,12.45142,"Condominium","Entire home/apt",7,2,6,15,2,365,29,85,85
"italy","rome","2020-06-14",29902,"IX Eur",41.78628,12.53519,"Villa","Entire home/apt",5,2,3,90,4,730,29,90,90
"italy","rome","2020-06-14",30207,"II Parioli/Nomentano",41.92713,12.51633,"Apartment","Entire home/apt",4,1,4,50,5,365,0,50,1500
"italy","rome","2020-06-14",31016,"I Centro Storico",41.8935,12.50391,"Apartment","Entire home/apt",5,1,2,50,3,29,30,NA,0
"italy","rome","2020-06-14",31058,"I Centro Storico",41.90706,12.50129,"Guest suite","Private room",2,1,1,65,2,30,25,71,355
"italy","rome","2020-06-14",31102,"V Prenestino/Centocelle",41.87675,12.54166,"Condominium","Private room",1,1,1,14,3,120,0,14,420
"italy","rome","2020-06-14",31430,"II Parioli/Nomentano",41.93152,12.51622,"Apartment","Private room",2,1,1,44,2,60,29,49,49
"italy","rome","2020-06-14",31464,"IV Tiburtina",41.9149,12.54632,"Apartment","Private room",2,1,1,48,2,30,30,NA,0
