"","country","city","data_date","id","neighbourhood_cleansed","latitude","longitude","property_type","room_type","accommodates","bedrooms","beds","price","minimum_nights","maximum_nights","availability_30","price_30","revenue_30"
"8001","italy","venice","2020-09-08",42622043,"San Polo",45.43842,12.332,"Private room in bed and breakfast","Private room",3,1,2,"$79.00",1,1125,28,69,138
"8002","italy","venice","2020-09-08",42636330,"Piave 1860",45.48358,12.23139,"Private room in apartment","Private room",3,1,2,"$50.00",2,30,0,50,1500
"8003","italy","venice","2020-09-08",42636769,"Piave 1860",45.48236,12.23113,"Private room in apartment","Private room",2,1,1,"$50.00",2,30,0,50,1500
"8004","italy","venice","2020-09-08",42636879,"Piave 1860",45.48371,12.231,"Private room in apartment","Private room",2,1,0,"$50.00",2,30,0,50,1500
"8005","italy","venice","2020-09-08",42638369,"San Lorenzo XXV Aprile",45.49241,12.23542,"Private room in house","Private room",4,1,2,"$26.00",1,1125,30,NA,0
"8006","italy","venice","2020-09-08",42651309,"San Marco",45.43564,12.33998,"Private room in apartment","Private room",1,1,NA,"$77.00",1,365,26,70,280
"8007","italy","venice","2020-09-08",42656370,"San Polo",45.43834,12.32825,"Entire apartment","Entire home/apt",6,3,4,"$195.00",2,24,27,240,720
"8008","italy","venice","2020-09-08",42670321,"San Polo",45.43697,12.32935,"Private room in bed and breakfast","Private room",4,1,2,"$90.00",2,28,0,90,2700
"8009","italy","venice","2020-09-08",42670324,"San Polo",45.43595,12.32804,"Private room in bed and breakfast","Private room",2,1,2,"$89.00",1,30,0,89,2670
"8010","italy","venice","2020-09-08",42676789,"Castello",45.43185,12.3537,"Entire apartment","Entire home/apt",4,1,2,"$101.00",2,28,28,106,212
"8011","italy","venice","2020-09-08",42685288,"Santa Croce",45.43978,12.32667,"Entire apartment","Entire home/apt",3,1,2,"$75.00",2,28,15,85,1275
"8012","italy","venice","2020-09-08",42690324,"Villaggio San Marco",45.48369,12.25552,"Private room in apartment","Private room",2,1,1,"$48.00",2,1125,30,NA,0
"8013","italy","venice","2020-09-08",42691941,"Villaggio San Marco",45.48445,12.25402,"Private room in apartment","Private room",1,1,1,"$38.00",2,1125,30,NA,0
"8014","italy","venice","2020-09-08",42702111,"Castello",45.43384,12.34767,"Entire apartment","Entire home/apt",7,2,4,"$90.00",1,1125,24,170,1020
"8015","italy","venice","2020-09-08",42702115,"Castello",45.43556,12.34732,"Entire apartment","Entire home/apt",5,1,3,"$58.00",1,1125,22,104,832
"8016","italy","venice","2020-09-08",42702116,"Castello",45.43589,12.34717,"Entire apartment","Entire home/apt",5,1,3,"$58.00",1,1125,23,100.571428571429,704
"8017","italy","venice","2020-09-08",42702117,"Castello",45.43425,12.34788,"Entire apartment","Entire home/apt",5,1,3,"$58.00",1,1125,20,105.6,1056
"8018","italy","venice","2020-09-08",42702120,"Castello",45.43595,12.34726,"Entire apartment","Entire home/apt",6,1,3,"$58.00",1,1125,30,NA,0
"8019","italy","venice","2020-09-08",42702122,"Castello",45.43389,12.34778,"Entire apartment","Entire home/apt",8,2,4,"$93.00",1,1125,23,167.714285714286,1174
"8020","italy","venice","2020-09-08",42702125,"Castello",45.43579,12.3509,"Entire apartment","Entire home/apt",6,2,4,"$58.00",1,1125,22,108,864
"8021","italy","venice","2020-09-08",42702127,"Dorsoduro",45.43345,12.32468,"Entire apartment","Entire home/apt",4,1,2,"$56.00",1,1125,7,100.95652173913,2322
"8022","italy","venice","2020-09-08",42702128,"San Marco",45.43592,12.33802,"Entire apartment","Entire home/apt",7,2,3,"$78.00",1,1125,26,133,532
"8023","italy","venice","2020-09-08",42704829,"Cannaregio",45.442,12.33169,"Entire apartment","Entire home/apt",6,2,3,"$58.35",1,1125,23,96,672
"8024","italy","venice","2020-09-08",42754331,"San Polo",45.43775,12.32945,"Private room in bed and breakfast","Private room",2,1,2,"$97.71",1,30,0,93.0666666666667,2792
"8025","italy","venice","2020-09-08",42754451,"Dorsoduro",45.42949,12.33315,"Private room in bed and breakfast","Private room",2,1,2,"$99.00",1,30,0,92,2760
"8026","italy","venice","2020-09-08",42760105,"Marghera",45.47739,12.21623,"Private room in villa","Private room",3,1,2,"$72.00",1,360,29,72,72
"8027","italy","venice","2020-09-08",42775250,"Marghera",45.47753,12.21677,"Private room in villa","Private room",2,1,1,"$30.00",1,360,29,30,30
"8028","italy","venice","2020-09-08",42775425,"Marghera",45.47794,12.21723,"Private room in villa","Private room",4,1,3,"$85.00",1,1125,29,85,85
"8029","italy","venice","2020-09-08",42775513,"Marghera",45.47785,12.21607,"Private room in villa","Private room",2,1,2,"$59.00",1,1125,29,59,59
"8030","italy","venice","2020-09-08",42788005,"Castello",45.43167,12.35531,"Entire apartment","Entire home/apt",4,2,3,"$110.00",2,15,30,NA,0
"8031","italy","venice","2020-09-08",42799940,"Cannaregio",45.44474,12.32455,"Entire apartment","Entire home/apt",4,1,2,"$100.00",2,1125,2,100,2800
"8032","italy","venice","2020-09-08",42805252,"Castello",45.43072,12.35669,"Entire apartment","Entire home/apt",4,1,2,"$65.71",2,30,9,74.2857142857143,1560
"8033","italy","venice","2020-09-08",42807195,"Santa Croce",45.44104,12.32594,"Private room in apartment","Private room",3,1,3,"$70.00",1,1125,24,73.5,441
"8034","italy","venice","2020-09-08",42808002,"Santa Croce",45.44118,12.32517,"Private room in apartment","Private room",4,1,4,"$65.00",1,1125,15,65.7333333333333,986
"8035","italy","venice","2020-09-08",42808013,"Santa Croce",45.44091,12.32508,"Private room in apartment","Private room",3,1,3,"$64.00",1,1125,13,64.4117647058823,1095
"8036","italy","venice","2020-09-08",42808021,"Santa Croce",45.44103,12.32465,"Private room in apartment","Private room",2,1,0,"$59.00",1,1125,12,59.1666666666667,1065
"8037","italy","venice","2020-09-08",42822218,"Santa Croce",45.43746,12.32112,"Entire apartment","Entire home/apt",5,1,3,"$73.00",1,365,17,79.8461538461538,1038
"8038","italy","venice","2020-09-08",42823866,"Piave 1860",45.48917,12.23548,"Private room in bed and breakfast","Private room",2,NA,1,"$35.00",1,1125,30,NA,0
"8039","italy","venice","2020-09-08",42828586,"Castello",45.43595,12.34774,"Entire apartment","Entire home/apt",14,4,5,"$270.00",2,30,22,347.5,2780
"8040","italy","venice","2020-09-08",42828891,"Castello",45.43407,12.34563,"Entire apartment","Entire home/apt",10,2,5,"$215.00",2,30,18,270.833333333333,3250
"8041","italy","venice","2020-09-08",42873061,"San Polo",45.43783,12.3346,"Entire apartment","Entire home/apt",6,2,3,"$136.86",1,1125,25,140.6,703
"8042","italy","venice","2020-09-08",42873062,"Dorsoduro",45.43506,12.32228,"Entire apartment","Entire home/apt",6,2,3,"$185.00",1,1125,26,185.75,743
"8043","italy","venice","2020-09-08",42875205,"Santa Croce",45.44127,12.32478,"Private room in apartment","Private room",3,1,3,"$70.00",1,1125,24,73.5,441
"8044","italy","venice","2020-09-08",42875366,"Santa Croce",45.4413,12.32458,"Private room in apartment","Private room",4,1,4,"$65.00",1,1125,15,65.7333333333333,986
"8045","italy","venice","2020-09-08",42875474,"Santa Croce",45.44074,12.32541,"Private room in apartment","Private room",3,1,3,"$64.00",1,1125,13,64.4117647058823,1095
"8046","italy","venice","2020-09-08",42875636,"Santa Croce",45.44104,12.32658,"Private room in apartment","Private room",2,1,1,"$59.00",1,1125,12,59.1666666666667,1065
"8047","italy","venice","2020-09-08",42881591,"Santa Croce",45.44031,12.3286,"Entire apartment","Entire home/apt",5,2,3,"$140.00",3,1125,22,140,1120
"8048","italy","venice","2020-09-08",42889990,"Cannaregio",45.44483,12.33188,"Entire apartment","Entire home/apt",4,2,2,"$160.00",2,60,30,NA,0
"8049","italy","venice","2020-09-08",42948966,"Cannaregio",45.44464,12.32046,"Private room in apartment","Private room",3,1,3,"$60.00",1,1125,30,NA,0
"8050","italy","venice","2020-09-08",42949470,"Cannaregio",45.44479,12.32239,"Private room in apartment","Private room",2,1,2,"$53.00",1,1125,18,52,624
"8051","italy","venice","2020-09-08",42949852,"Santa Croce",45.44057,12.32517,"Private room in apartment","Private room",3,1,3,"$65.00",1,1125,18,66.5833333333333,799
"8052","italy","venice","2020-09-08",42950444,"Cannaregio",45.44648,12.32035,"Private room in apartment","Private room",2,1,2,"$63.00",1,1125,30,NA,0
"8053","italy","venice","2020-09-08",42950678,"Cannaregio",45.44444,12.32174,"Private room in apartment","Private room",2,1,2,"$68.00",1,1125,30,NA,0
"8054","italy","venice","2020-09-08",42950994,"Cannaregio",45.44637,12.32028,"Private room in apartment","Private room",2,1,2,"$65.00",1,1125,30,NA,0
"8055","italy","venice","2020-09-08",42951509,"Santa Croce",45.44101,12.32672,"Private room in apartment","Private room",3,1,3,"$64.00",1,1125,13,64.4117647058823,1095
"8056","italy","venice","2020-09-08",42951845,"Santa Croce",45.44101,12.32487,"Private room in apartment","Private room",4,1,4,"$65.00",1,1125,15,65.7333333333333,986
"8057","italy","venice","2020-09-08",42953387,"Cannaregio",45.4406,12.33891,"Private room in apartment","Private room",3,1,3,"$62.00",1,1125,27,65.3333333333333,196
"8058","italy","venice","2020-09-08",42953388,"Santa Croce",45.44109,12.32598,"Private room in apartment","Private room",3,1,3,"$70.00",1,1125,24,73.5,441
"8059","italy","venice","2020-09-08",42953701,"Cannaregio",45.43991,12.33882,"Private room in apartment","Private room",2,1,2,"$67.00",1,1125,26,72.5,290
"8060","italy","venice","2020-09-08",42953885,"Cannaregio",45.44053,12.33932,"Private room in apartment","Private room",4,1,4,"$77.00",1,1125,18,86,1032
"8061","italy","venice","2020-09-08",42954040,"San Polo",45.43744,12.32949,"Private room in apartment","Private room",2,1,2,"$56.00",1,1125,10,55.75,1115
"8062","italy","venice","2020-09-08",42954148,"Cannaregio",45.44033,12.33722,"Private room in apartment","Private room",3,1,3,"$62.00",1,1125,26,64,256
"8063","italy","venice","2020-09-08",42955219,"San Marco",45.43524,12.33554,"Room in hotel","Private room",2,1,1,"$247.00",3,1125,29,247,247
"8064","italy","venice","2020-09-08",42959208,"San Marco",45.43494,12.33248,"Entire apartment","Entire home/apt",8,3,1,"$560.00",5,1125,30,NA,0
"8065","italy","venice","2020-09-08",42968740,"San Polo",45.438,12.3298,"Private room in apartment","Private room",4,1,4,"$61.00",1,30,9,60.9047619047619,1279
"8066","italy","venice","2020-09-08",42969035,"Cannaregio",45.4402,12.3369,"Private room in apartment","Private room",2,1,2,"$82.00",1,1125,0,81.6666666666667,2450
"8067","italy","venice","2020-09-08",42969334,"San Polo",45.43686,12.32779,"Entire house","Entire home/apt",8,3,5,"$215.00",1,1125,29,215,215
"8068","italy","venice","2020-09-08",42969557,"Cannaregio",45.43949,12.33801,"Private room in apartment","Private room",2,1,2,"$69.86",1,1125,0,69.5333333333333,2086
"8069","italy","venice","2020-09-08",42972180,"Cannaregio",45.44008,12.33833,"Private room in apartment","Private room",3,1,3,"$82.00",1,1125,0,81.6666666666667,2450
"8070","italy","venice","2020-09-08",42980923,"Castello",45.435,12.3479,"Entire house","Entire home/apt",5,2,4,"$88.00",3,29,30,NA,0
