"","country","city","data_date","id","neighbourhood_cleansed","latitude","longitude","property_type","room_type","accommodates","bedrooms","beds","price","minimum_nights","maximum_nights","availability_30","price_30","revenue_30"
"1","italy","venice","2020-08-21",6623,"San Polo",45.43823,12.32902,"Entire apartment","Entire home/apt",4,2,4,"$225.00",7,365,21,225,2025
"2","italy","venice","2020-08-21",6624,"San Polo",45.43845,12.32869,"Entire apartment","Entire home/apt",6,2,6,"$250.00",7,50,29,250,250
"3","italy","venice","2020-08-21",12074,"San Polo",45.43827,12.32764,"Entire apartment","Entire home/apt",4,2,4,"$122.00",4,28,0,122,3660
"4","italy","venice","2020-08-21",27116,"San Marco",45.43221,12.33411,"Private room in bed and breakfast","Private room",4,1,2,"$128.00",1,1125,16,181.785714285714,2545
"5","italy","venice","2020-08-21",33934,"Cannaregio",45.4448,12.33121,"Entire apartment","Entire home/apt",4,1,1,"$103.00",2,30,29,103,103
"6","italy","venice","2020-08-21",44527,"Cannaregio",45.44754,12.32918,"Entire apartment","Entire home/apt",6,3,3,"$300.00",2,365,21,300,2700
"7","italy","venice","2020-08-21",44998,"Castello",45.43854,12.34959,"Entire apartment","Entire home/apt",6,2,4,"$260.00",5,10,29,260,260
"8","italy","venice","2020-08-21",45036,"San Polo",45.43723,12.32451,"Entire apartment","Entire home/apt",2,1,1,"$65.00",1,1,10,65,1300
"9","italy","venice","2020-08-21",46054,"San Marco",45.43439,12.33509,"Entire apartment","Entire home/apt",6,2,2,"$140.00",1,1,29,140,140
"10","italy","venice","2020-08-21",46158,"San Marco",45.43468,12.33613,"Entire apartment","Entire home/apt",2,1,1,"$70.00",1,1,29,70,70
"11","italy","venice","2020-08-21",46171,"Cannaregio",45.44185,12.33355,"Entire apartment","Entire home/apt",2,1,1,"$150.00",3,10,2,125.714285714286,3520
"12","italy","venice","2020-08-21",47383,"San Polo",45.43846,12.33235,"Room in bed and breakfast","Hotel room",2,1,1,"$58.00",2,365,19,77.8181818181818,856
"13","italy","venice","2020-08-21",47549,"Dorsoduro",45.43593,12.32521,"Entire apartment","Entire home/apt",5,3,3,"$107.00",2,365,0,129.166666666667,3875
"14","italy","venice","2020-08-21",49656,"Dorsoduro",45.43549,12.32612,"Entire apartment","Entire home/apt",3,2,2,"$90.00",3,31,13,106,1802
"15","italy","venice","2020-08-21",51847,"Castello",45.43546,12.34636,"Entire apartment","Entire home/apt",3,1,2,"$150.00",1,1,21,150,1350
"16","italy","venice","2020-08-21",56687,"Cannaregio",45.44525,12.33166,"Entire apartment","Entire home/apt",6,2,6,"$150.00",3,30,29,150,150
"17","italy","venice","2020-08-21",60007,"San Marco",45.43302,12.332,"Entire apartment","Entire home/apt",4,2,3,"$81.00",1,1125,28,89,178
"18","italy","venice","2020-08-21",60020,"Santa Croce",45.44059,12.32952,"Room in bed and breakfast","Hotel room",2,1,1,"$34.00",2,29,11,39.8421052631579,757
"19","italy","venice","2020-08-21",60304,"Cannaregio",45.44334,12.33483,"Private room in bed and breakfast","Private room",2,1,1,"$70.00",1,1000,26,82.5,330
"20","italy","venice","2020-08-21",61714,"Giudecca",45.42708,12.31823,"Private room in bed and breakfast","Private room",2,1,1,"$100.00",2,730,20,100,1000
"21","italy","venice","2020-08-21",63267,"Castello",45.43886,12.3499,"Entire apartment","Entire home/apt",2,1,1,"$90.00",3,20,3,90,2430
"22","italy","venice","2020-08-21",65926,"Dorsoduro",45.43108,12.32593,"Entire apartment","Entire home/apt",5,3,4,"$149.00",2,300,19,150.454545454545,1655
"23","italy","venice","2020-08-21",69375,"Cannaregio",45.44555,12.32155,"Entire apartment","Entire home/apt",4,1,4,"$120.00",3,45,27,120,360
"24","italy","venice","2020-08-21",69877,"Dorsoduro",45.4338,12.32574,"Private room in bed and breakfast","Private room",3,1,2,"$126.00",2,8,30,NA,0
"25","italy","venice","2020-08-21",71460,"San Lorenzo XXV Aprile",45.49249,12.24348,"Private room in bed and breakfast","Private room",2,1,1,"$49.00",2,4,0,49,1470
"26","italy","venice","2020-08-21",71735,"San Marco",45.43482,12.33648,"Entire apartment","Entire home/apt",4,1,2,"$100.00",3,29,0,100,3000
"27","italy","venice","2020-08-21",71870,"Castello",45.42978,12.35715,"Entire house","Entire home/apt",4,2,2,"$76.00",3,365,29,75,75
"28","italy","venice","2020-08-21",71874,"Santa Croce",45.44001,12.32552,"Private room in bed and breakfast","Private room",3,1,1,"$120.00",1,28,29,120,120
"29","italy","venice","2020-08-21",72000,"Castello",45.43006,12.35652,"Private room in house","Private room",1,1,1,"$60.00",2,5,8,60,1320
"30","italy","venice","2020-08-21",72740,"Favaro",45.507,12.28175,"Entire apartment","Entire home/apt",2,1,1,"$62.00",2,31,14,64,1024
"31","italy","venice","2020-08-21",74042,"Castello",45.43369,12.35051,"Entire apartment","Entire home/apt",4,1,1,"$99.00",1,1125,8,134,2948
"32","italy","venice","2020-08-21",74272,"Castello",45.43476,12.34999,"Entire apartment","Entire home/apt",3,1,1,"$42.71",3,60,9,50.3333333333333,1057
"33","italy","venice","2020-08-21",74873,"Cannaregio",45.44699,12.33227,"Entire apartment","Entire home/apt",7,2,2,"$198.00",3,30,27,204.333333333333,613
"34","italy","venice","2020-08-21",75376,"San Marco",45.43517,12.33554,"Entire apartment","Entire home/apt",4,2,3,"$86.00",2,365,19,102.636363636364,1129
"35","italy","venice","2020-08-21",75760,"Castello",45.43079,12.35641,"Entire apartment","Entire home/apt",4,1,3,"$100.00",7,30,17,116.153846153846,1510
"36","italy","venice","2020-08-21",75994,"San Marco",45.43746,12.337,"Entire apartment","Entire home/apt",4,2,2,"$92.00",2,365,23,101.571428571429,711
"37","italy","venice","2020-08-21",77188,"Castello",45.43385,12.34786,"Entire apartment","Entire home/apt",4,1,2,"$44.00",3,60,8,51.5454545454545,1134
"38","italy","venice","2020-08-21",77598,"Dorsoduro",45.43103,12.31997,"Entire apartment","Entire home/apt",6,2,0,"$107.00",3,730,30,NA,0
"39","italy","venice","2020-08-21",78706,"Cannaregio",45.44648,12.33248,"Entire loft","Entire home/apt",5,1,4,"$235.00",3,30,29,224,224
"40","italy","venice","2020-08-21",78833,"Cannaregio",45.44648,12.33187,"Entire loft","Entire home/apt",4,1,4,"$172.00",3,30,24,174,1044
"41","italy","venice","2020-08-21",79038,"Favaro",45.50878,12.2815,"Private room in bed and breakfast","Private room",2,1,1,"$32.29",1,365,29,38,38
"42","italy","venice","2020-08-21",80403,"Dorsoduro",45.43286,12.32043,"Entire apartment","Entire home/apt",4,1,0,"$115.00",3,90,29,115,115
"43","italy","venice","2020-08-21",83368,"San Polo",45.43678,12.32752,"Entire condominium","Entire home/apt",6,3,4,"$200.00",2,730,0,200,6000
"44","italy","venice","2020-08-21",83610,"Castello",45.43442,12.34854,"Entire apartment","Entire home/apt",6,2,4,"$111.00",3,365,27,120,360
"45","italy","venice","2020-08-21",90053,"Lido",45.40769,12.36549,"Entire apartment","Entire home/apt",5,1,3,"$130.00",6,300,19,130,1430
"46","italy","venice","2020-08-21",91525,"Santa Croce",45.43992,12.33035,"Entire apartment","Entire home/apt",4,2,0,"$230.00",3,365,16,217.142857142857,3040
"47","italy","venice","2020-08-21",92159,"Giudecca",45.42703,12.31827,"Private room in bed and breakfast","Private room",2,1,1,"$90.00",2,730,20,90,900
"48","italy","venice","2020-08-21",95980,"San Marco",45.43316,12.3353,"Entire apartment","Entire home/apt",2,1,1,"$150.00",2,10,23,150,1050
"49","italy","venice","2020-08-21",99238,"Cannaregio",45.44394,12.32904,"Entire apartment","Entire home/apt",2,1,1,"$120.00",3,25,13,120,2040
"50","italy","venice","2020-08-21",103249,"San Polo",45.43723,12.32718,"Entire condominium","Entire home/apt",4,2,3,"$130.00",2,730,24,130,780
"51","italy","venice","2020-08-21",108271,"Marghera",45.4732,12.22502,"Private room in condominium","Private room",1,1,1,"$36.00",2,29,29,36,36
"52","italy","venice","2020-08-21",109278,"Tessera",45.5032,12.32058,"Private room in villa","Private room",15,4,4,"$260.00",1,365,7,260,5980
"53","italy","venice","2020-08-21",129278,"Lido",45.40562,12.36547,"Entire apartment","Entire home/apt",10,3,6,"$300.00",7,180,9,300,6300
"54","italy","venice","2020-08-21",130605,"Santa Croce",45.43921,12.32146,"Private room in apartment","Private room",3,1,2,"$79.00",3,444,20,79,790
"55","italy","venice","2020-08-21",131244,"Cannaregio",45.44487,12.32642,"Room in hotel","Hotel room",2,1,1,"$76.00",1,730,18,78,936
"56","italy","venice","2020-08-21",131822,"Cannaregio",45.44634,12.32597,"Room in hotel","Hotel room",3,1,3,"$126.00",1,365,20,127.8,1278
"57","italy","venice","2020-08-21",131895,"Cannaregio",45.44494,12.32759,"Room in hotel","Hotel room",2,1,1,"$76.00",1,730,17,77.7692307692308,1011
"58","italy","venice","2020-08-21",131939,"Cannaregio",45.44601,12.32668,"Room in hotel","Hotel room",4,2,4,"$186.00",1,730,19,187.909090909091,2067
"59","italy","venice","2020-08-21",134035,"Castello",45.43438,12.34683,"Entire apartment","Entire home/apt",4,1,2,"$116.00",2,30,29,115,115
