"country","city","data_date","id","neighbourhood_cleansed","latitude","longitude","property_type","room_type","accommodates","bedrooms","beds","price","minimum_nights","maximum_nights","availability_30","price_30","revenue_30"
"germany","munich","2020-04-25",20642299,"Schwabing-Freimann",48.18066,11.59307,"Apartment","Entire home/apt",2,1,1,85,5,1125,0,85,2550
"germany","munich","2020-04-25",20643206,"Milbertshofen-Am Hart",48.20445,11.57541,"House","Private room",2,1,2,20,1,30,29,36,36
"germany","munich","2020-04-25",20643977,"Laim",48.13167,11.50851,"Apartment","Private room",1,1,2,100,1,1125,28,150,300
"germany","munich","2020-04-25",20646122,"Altstadt-Lehel",48.13891,11.58901,"Apartment","Private room",1,1,1,126,2,19,29,126,126
"germany","munich","2020-04-25",20646699,"Maxvorstadt",48.14706,11.57734,"Apartment","Entire home/apt",2,0,1,130,2,20,0,130,3900
"germany","munich","2020-04-25",20649176,"Schwabing-West",48.16215,11.56343,"Apartment","Entire home/apt",4,1,1,96,2,7,0,300,9000
"germany","munich","2020-04-25",20649242,"Laim",48.13595,11.51594,"Apartment","Private room",2,1,2,25,1,7,0,25,750
"germany","munich","2020-04-25",20650380,"Au-Haidhausen",48.12937,11.60006,"Apartment","Private room",1,1,1,85,2,30,4,125,3250
"germany","munich","2020-04-25",20650719,"Au-Haidhausen",48.12902,11.59847,"Apartment","Private room",2,1,1,105,2,5,0,105,3150
"germany","munich","2020-04-25",20650747,"Au-Haidhausen",48.12757,11.59662,"Apartment","Private room",2,1,1,95,3,3,0,95,2850
"germany","munich","2020-04-25",20652115,"Schwanthalerhöhe",48.13668,11.54461,"Apartment","Entire home/apt",3,1,2,90,2,1125,0,90,2700
"germany","munich","2020-04-25",20653751,"Maxvorstadt",48.15217,11.57209,"Apartment","Private room",2,1,1,89,1,1125,0,89,2670
"germany","munich","2020-04-25",20656655,"Au-Haidhausen",48.13008,11.59893,"Apartment","Entire home/apt",2,1,1,70,2,10,0,74.5,2235
"germany","munich","2020-04-25",20659848,"Laim",48.13787,11.50156,"Apartment","Private room",3,1,1,50,2,15,0,51.5,1545
"germany","munich","2020-04-25",20659852,"Schwabing-Freimann",48.1595,11.58574,"Apartment","Private room",2,1,1,75,1,1125,30,NA,0
