"country","city","data_date","id","neighbourhood_cleansed","latitude","longitude","property_type","room_type","accommodates","bedrooms","beds","price","minimum_nights","maximum_nights","availability_30","price_30","revenue_30"
"france","bordeaux","2020-09-19",28925,"Centre ville (Bordeaux)",44.8491,-0.5935,"Entire house","Entire home/apt",12,5,13,350,2,21,0,350,10500
"france","bordeaux","2020-09-19",185534,"Saint Augustin - Tauzin - Alphonse Dupeux",44.83063,-0.59331,"Entire house","Entire home/apt",6,3,3,125,4,15,0,125,3750
"france","bordeaux","2020-09-19",218103,"Bgles",44.81418,-0.54842,"Entire apartment","Entire home/apt",4,1,0,110,2,21,30,NA,0
"france","bordeaux","2020-09-19",222887,"Bordeaux Sud",44.83611,-0.5664,"Entire apartment","Entire home/apt",4,2,3,174,3,90,28,190,380
"france","bordeaux","2020-09-19",317273,"Chartrons - Grand Parc - Jardin Public",44.84782,-0.58105,"Entire apartment","Entire home/apt",3,1,2,127,3,90,0,127,3810
"france","bordeaux","2020-09-19",317658,"Centre ville (Bordeaux)",44.83882,-0.56887,"Entire apartment","Entire home/apt",6,2,4,190,3,90,3,190,5130
"france","bordeaux","2020-09-19",333031,"Centre ville (Bordeaux)",44.84267,-0.57656,"Entire apartment","Entire home/apt",2,NA,1,72,1,1125,28,70,140
"france","bordeaux","2020-09-19",333592,"Centre ville (Bordeaux)",44.84701,-0.58249,"Entire apartment","Entire home/apt",2,1,1,90,2,31,18,98.3333333333333,1180
"france","bordeaux","2020-09-19",365993,"Bgles",44.81149,-0.55825,"Entire apartment","Entire home/apt",6,2,3,85,5,30,15,85,1275
"france","bordeaux","2020-09-19",400306,"La Bastide",44.8439,-0.55831,"Entire condominium","Entire home/apt",2,1,1,59,1,1125,0,59,1770
"france","bordeaux","2020-09-19",403245,"Bordeaux Sud",44.83385,-0.57033,"Entire apartment","Entire home/apt",3,1,2,59,2,31,0,59,1770
"france","bordeaux","2020-09-19",408270,"Bgles",44.81412,-0.54641,"Entire apartment","Entire home/apt",4,1,1,90,2,21,30,NA,0
"france","bordeaux","2020-09-19",410267,"Bgles",44.81494,-0.54799,"Entire apartment","Entire home/apt",4,1,1,90,2,21,26,90,360
"france","bordeaux","2020-09-19",412475,"Bgles",44.81428,-0.54875,"Entire apartment","Entire home/apt",4,1,1,90,2,21,28,90,180
"france","bordeaux","2020-09-19",437127,"Chartrons - Grand Parc - Jardin Public",44.85636,-0.58518,"Private room in apartment","Private room",2,1,1,46,2,1125,17,45.1538461538462,587
"france","bordeaux","2020-09-19",438600,"Chartrons - Grand Parc - Jardin Public",44.85575,-0.5824,"Private room in apartment","Private room",1,1,1,31,2,1125,14,30.25,484
"france","bordeaux","2020-09-19",450324,"Plaisance-Loret-Maregue",44.86238,-0.50698,"Entire house","Entire home/apt",5,4,4,110,2,1125,3,110,2970
"france","bordeaux","2020-09-19",457462,"Talence",44.80935,-0.59991,"Entire apartment","Entire home/apt",4,2,2,75,2,21,0,75,2250
"france","bordeaux","2020-09-19",457640,"Talence",44.80907,-0.60034,"Entire apartment","Entire home/apt",4,2,2,80,2,30,0,80,2400
"france","bordeaux","2020-09-19",482102,"Le Bouscat",44.85446,-0.59562,"Entire townhouse","Entire home/apt",12,6,7,195,2,21,22,195,1560
"france","bordeaux","2020-09-19",500193,"Bordeaux Sud",44.83118,-0.5628,"Entire apartment","Entire home/apt",4,2,2,97.14,1,14,5,100,2500
"france","bordeaux","2020-09-19",545440,"Chartrons - Grand Parc - Jardin Public",44.85657,-0.57796,"Entire house","Entire home/apt",5,2,2,230,2,30,0,211,6330
"france","bordeaux","2020-09-19",548827,"Centre ville (Bordeaux)",44.83949,-0.57233,"Private room in bed and breakfast","Private room",2,1,1,110,1,6,23,110,770
"france","bordeaux","2020-09-19",557526,"Talence",44.81216,-0.59949,"Entire apartment","Entire home/apt",3,2,1,79,3,21,0,79,2370
"france","bordeaux","2020-09-19",568013,"Bordeaux Sud",44.8337,-0.56805,"Entire house","Entire home/apt",7,3,6,90,4,21,0,90,2700
"france","bordeaux","2020-09-19",582745,"Le Bouscat",44.86363,-0.60591,"Entire house","Entire home/apt",8,3,5,180,2,1125,0,162,4860
"france","bordeaux","2020-09-19",599263,"Centre ville (Bordeaux)",44.83828,-0.5762,"Entire apartment","Entire home/apt",4,2,2,96,3,20,16,103.214285714286,1445
"france","bordeaux","2020-09-19",648539,"Bordeaux Sud",44.83103,-0.56652,"Entire apartment","Entire home/apt",4,1,2,29,30,1125,0,29,870
"france","bordeaux","2020-09-19",656926,"Bordeaux Sud",44.83421,-0.56205,"Private room in house","Private room",2,2,2,50,2,6,0,50,1500
